data.date;data.confirmed;data.hosp;data.deaths
06/12/2021;49242230;57447;788660
07/12/2021;49356227;58938;790434
08/12/2021;49505272;59721;792313
09/12/2021;49628777;60371;793608
10/12/2021;49793839;61162;795711
11/12/2021;49845184;60921;796127
12/12/2021;49881540;61722;796322
13/12/2021;50084423;63084;797611
14/12/2021;50201282;63244;799345
15/12/2021;50346558;63226;801438
16/12/2021;50492877;63105;802601
17/12/2021;50664022;63090;804697
18/12/2021;50738685;62004;805171
19/12/2021;50811164;62545;805334
20/12/2021;51114064;63764;806753
21/12/2021;51303535;64086;808841
22/12/2021;51547227;65043;810927
23/12/2021;51812442;65661;814211
24/12/2021;51996367;65821;815213
25/12/2021;52054715;66446;815312
26/12/2021;52244429;69732;815391
27/12/2021;52787969;74692;817134
28/12/2021;53168681;79671;819630
29/12/2021;53657745;85506;821731
30/12/2021;54242800;89961;823141
31/12/2021;54689367;93776;824336
01/01/2022;54850427;96539;824609
02/01/2022;55137064;102671;824841
03/01/2022;56155999;108761;826491
04/01/2022;57041905;114846;828853
05/01/2022;57745969;121444;830981
06/01/2022;58505187;126976;832953
07/01/2022;59405357;131874;835637
08/01/2022;59851597;133576;836327
09/01/2022;60166932;137251;836728
10/01/2022;61600909;142248;838412
11/01/2022;62370837;145834;841092
12/01/2022;63251819;149670;843853
13/01/2022;64120526;151006;846110
14/01/2022;65053852;152033;849101
15/01/2022;65477079;149478;850099
16/01/2022;65814886;149973;850509
17/01/2022;66526937;150873;851283
18/01/2022;67705340;153220;854268
19/01/2022;68557295;154497;857644
20/01/2022;69305615;152923;860316
21/01/2022;70130930;150229;864182
22/01/2022;70468314;145668;865116
23/01/2022;70667795;144757;865687
24/01/2022;71699954;144760;867866
25/01/2022;72210867;143297;870838
26/01/2022;72895313;141674;874733
27/01/2022;73425577;137503;877824
28/01/2022;73981352;133318;881703
29/01/2022;74223465;127041;883009
30/01/2022;74327523;125816;883370
31/01/2022;74989495;124054;885943
01/02/2022;75285900;120533;889525
02/02/2022;75610929;117164;893156
03/02/2022;75923171;112652;896178
04/02/2022;76236151;107664;900154
05/02/2022;76359918;101670;901022
06/02/2022;76418395;99064;901400
07/02/2022;76766514;97280;904139
08/02/2022;76961010;93609;907497
09/02/2022;77187359;90113;911067
10/02/2022;77360952;86034;914328
11/02/2022;77530775;81494;917135
12/02/2022;77594737;76807;917896
13/02/2022;77629125;74334;918368
14/02/2022;77835449;72085;920954
15/02/2022;77950961;68705;923804
16/02/2022;78092141;65247;927110
17/02/2022;78196006;61859;930297
18/02/2022;78305615;58681;932788
19/02/2022;78351826;54814;933480
20/02/2022;78377993;52974;933894
21/02/2022;78433652;51305;934654
22/02/2022;78556769;49428;937380
23/02/2022;78641313;47038;940404
24/02/2022;78714719;44380;943312
25/02/2022;78800705;42035;946121
26/02/2022;78825927;39278;946686
27/02/2022;78835013;37964;946883
28/02/2022;78942813;36982;948855
01/03/2022;78986396;35342;950788
02/03/2022;79044542;33770;953136
03/03/2022;79096279;31996;955018
04/03/2022;79145866;29869;956910
05/03/2022;79162481;27801;957217
06/03/2022;79169256;27011;957429
07/03/2022;79232308;26401;959115
08/03/2022;79266324;25188;960690
09/03/2022;79314028;24175;962503
10/03/2022;79352221;22841;964062
11/03/2022;79396596;21501;965746
12/03/2022;79407518;20232;966218
13/03/2022;79413908;19546;966361
14/03/2022;79462956;19020;963926
15/03/2022;79511352;18519;965449
16/03/2022;79550748;17945;967482
17/03/2022;79586734;17394;968690
18/03/2022;79623203;16540;969733
19/03/2022;79635322;15659;970065
20/03/2022;79643175;15341;970148
21/03/2022;79689310;15071;971107
22/03/2022;79714979;14553;972104
23/03/2022;79762066;14170;973459
24/03/2022;79799812;13623;974441
25/03/2022;79833549;13100;975273
26/03/2022;79845604;12574;975436
27/03/2022;79853102;12203;975486
28/03/2022;79895338;12094;976396
29/03/2022;79920966;11810;977153
30/03/2022;79966408;11545;978361
